#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.structuredCoalescent.distribution.Masco">
#            <parameter id="stepSize" name="timeStep">0.01</parameter>
#            <parameter dimension="2" id="coalRates" name="coalescentRates">2.0 4.0</parameter>
#            <parameter dimension="2" id="migRates" name="migrationRates" upper="140.0">0.001 0.01</parameter>
#            <dim id="IntegerParameter" lower="0" spec="beast.core.parameter.IntegerParameter" upper="0">2</dim>
#            <structuredTreeIntervals id="TreeIntervals" spec="beast.structuredCoalescent.distribution.StructuredTreeIntervals">
#                <tree id="NewickTree.t:Species"/>
#            </structuredTreeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	migRates1	migRates2	coalRates1	coalRates2	posterior
79	0.004875439156096393	0.01	2.0	4.0	-105.94394802637635
80	0.004972947939218321	0.01	2.0	4.0	-105.91717335627334
81	0.005072406898002688	0.01	2.0	4.0	-105.89018895032378
82	0.005173855035962741	0.01	2.0	4.0	-105.8629998800692
83	0.0052773321366819965	0.01	2.0	4.0	-105.83561132857453
84	0.005382878779415637	0.01	2.0	4.0	-105.80802858584646
85	0.00549053635500395	0.01	2.0	4.0	-105.78025704447533
86	0.005600347082104029	0.01	2.0	4.0	-105.75230219550383
87	0.0057123540237461095	0.01	2.0	4.0	-105.72416962452566
88	0.005826601104221032	0.01	2.0	4.0	-105.69586500801563
89	0.005943133126305453	0.01	2.0	4.0	-105.66739410989302
90	0.006061995788831562	0.01	2.0	4.0	-105.63876277831704
91	0.0061832357046081934	0.01	2.0	4.0	-105.60997694271433
92	0.006306900418700357	0.01	2.0	4.0	-105.5810426110366
93	0.006433038427074365	0.01	2.0	4.0	-105.55196586724568
94	0.006561699195615852	0.01	2.0	4.0	-105.52275286902339
95	0.006692933179528169	0.01	2.0	4.0	-105.49340984570154
96	0.006826791843118732	0.01	2.0	4.0	-105.46394309640854
97	0.006963327679981107	0.01	2.0	4.0	-105.43435898842714
98	0.00710259423358073	0.01	2.0	4.0	-105.40466395575824
99	0.007244646118252344	0.01	2.0	4.0	-105.3748644978846
100	0.007389539040617391	0.01	2.0	4.0	-105.34496717872925
101	0.007537329821429739	0.01	2.0	4.0	-105.31497862580117
102	0.007688076417858334	0.01	2.0	4.0	-105.28490552952283
