#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.structuredCoalescent.distribution.ExactStructuredCoalescent">
#            <parameter id="stepSize" name="timeStep">0.01</parameter>
#            <parameter dimension="2" id="coalRates" name="coalescentRates">2.0 4.0</parameter>
#            <parameter dimension="2" id="migRates" name="migrationRates" upper="140.0">0.001 0.01</parameter>
#            <dim id="IntegerParameter" lower="0" spec="beast.core.parameter.IntegerParameter" upper="0">2</dim>
#            <structuredTreeIntervals id="TreeIntervals" spec="beast.structuredCoalescent.distribution.StructuredTreeIntervals">
#                <tree id="NewickTree.t:Species"/>
#            </structuredTreeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	migRates1	migRates2	coalRates1	coalRates2	posterior
210	0.0652583729794163	0.01	2.0	4.0	-102.72203796393528
211	0.06656354043900461	0.01	2.0	4.0	-102.76055587568135
212	0.06789481124778471	0.01	2.0	4.0	-102.80054007023415
213	0.0692527074727404	0.01	2.0	4.0	-102.84202143144798
214	0.0706377616221952	0.01	2.0	4.0	-102.88503144059987
215	0.0720505168546391	0.01	2.0	4.0	-102.92960218831159
216	0.07349152719173188	0.01	2.0	4.0	-102.97576638672291
217	0.07496135773556652	0.01	2.0	4.0	-103.02355738192104
218	0.07646058489027785	0.01	2.0	4.0	-103.07300916663269
219	0.0779897965880834	0.01	2.0	4.0	-103.12415639318417
220	0.07954959251984507	0.01	2.0	4.0	-103.17703438673564
221	0.08114058437024198	0.01	2.0	4.0	-103.23167915879657
222	0.08276339605764682	0.01	2.0	4.0	-103.28812742102758
223	0.08441866397879975	0.01	2.0	4.0	-103.34641659933685
224	0.08610703725837575	0.01	2.0	4.0	-103.4065848482767
225	0.08782917800354327	0.01	2.0	4.0	-103.46867106574845
226	0.08958576156361414	0.01	2.0	4.0	-103.53271490802246
227	0.09137747679488642	0.01	2.0	4.0	-103.59875680508068
228	0.09320502633078415	0.01	2.0	4.0	-103.66683797629013
229	0.09506912685739984	0.01	2.0	4.0	-103.73700044641475
230	0.09697050939454784	0.01	2.0	4.0	-103.80928706197426
231	0.09890991958243879	0.01	2.0	4.0	-103.88374150795822
232	0.10088811797408757	0.01	2.0	4.0	-103.96040832490421
233	0.10290588033356933	0.01	2.0	4.0	-104.03933292634906
